result_id,grain_type,moisture,temperature,nature,created_at,timestamp,status,processed_at,processed_by
21010980049728,Nisu,13.02500,27.03700,0.79515,2024-08-09 08:05:04,2024-08-09 05:07:16.928077,New,,
21010980049706,Nisu,15.97000,21.71900,0.79292,2024-08-09 05:06:21,2024-08-09 02:10:09.971781,New,,
21010980049729,Nisu,12.98700,26.65300,0.79292,2024-08-09 08:09:00,2024-08-09 05:11:12.338557,Processed,2024-08-09 05:11:48.895464,operator
21010980049812,Nisu,13.50500,27.94000,0.79811,2024-08-10 01:14:38,2024-08-09 22:16:50.577202,Processed,2024-08-09 22:18:30.950108,manager
21010980049737,Nisu,13.52800,28.57200,0.79045,2024-08-09 09:52:21,2024-08-09 06:54:40.869426,Processed,2024-08-09 06:55:16.619794,operator
21010980049817,Nisu,15.11100,25.35400,0.79490,2024-08-10 02:16:58,2024-08-09 23:19:09.49016,New,,
21010980049744,Nisu,13.68400,30.44600,0.79564,2024-08-09 11:10:48,2024-08-09 08:13:00.388134,Processed,2024-08-09 08:13:15.988083,operator
21010980049745,Nisu,16.01000,23.00600,0.78700,2024-08-09 11:12:03,2024-08-09 08:14:15.191537,Processed,2024-08-09 08:14:29.184114,operator
21010980049821,Nisu,13.44500,26.85600,0.79786,2024-08-10 02:54:52,2024-08-09 23:57:03.549974,Processed,2024-08-10 00:02:35.471945,manager
21010980049754,Nisu,13.06000,28.05300,0.79268,2024-08-09 13:14:22,2024-08-09 10:16:34.363954,Processed,2024-08-09 10:16:51.796228,operator
21010980049755,Nisu,15.83200,21.06400,0.78230,2024-08-09 13:16:27,2024-08-09 10:18:40.042906,Processed,2024-08-09 10:18:52.538693,operator
21010980049825,Nisu,13.34200,28.13200,0.80157,2024-08-10 04:00:18,2024-08-10 01:02:28.852948,Processed,2024-08-10 01:03:10.331493,manager
21010980049761,Nisu,13.70300,29.93800,0.79045,2024-08-09 14:34:53,2024-08-09 11:40:03.760861,Processed,2024-08-09 11:40:42.501089,operator
21010980049762,Nisu,16.68300,28.38000,0.78527,2024-08-09 14:38:37,2024-08-09 11:40:49.116792,Processed,2024-08-09 11:40:58.540906,operator
21010980049691,Nisu,15.45900,31.73300,0.78107,2024-08-09 02:58:40,2024-08-09 00:50:55.930049,New,,
21010980049768,Nisu,13.51900,26.78800,0.80132,2024-08-09 15:56:49,2024-08-09 13:00:25.532894,New,,
21010980049830,Nisu,13.39700,22.54300,0.79885,2024-08-10 05:28:58,2024-08-10 02:31:10.289629,Processed,2024-08-10 02:32:10.872467,manager
21010980049769,Nisu,13.52400,27.04800,0.80280,2024-08-09 15:58:17,2024-08-09 13:00:28.6182,Processed,2024-08-09 13:00:36.10627,operator
21010980049770,Nisu,16.22100,28.61700,0.79045,2024-08-09 16:01:01,2024-08-09 13:03:13.444176,Processed,2024-08-09 13:03:22.362505,operator
21010980049836,Nisu,13.81400,29.47500,0.80206,2024-08-10 07:21:32,2024-08-10 04:23:43.102215,Processed,2024-08-10 04:24:26.804419,manager
21010980049778,Nisu,13.58900,31.67700,0.79688,2024-08-09 17:53:04,2024-08-09 14:55:16.030841,Processed,2024-08-09 14:56:18.275778,operator
21010980049785,Nisu,13.74700,29.31700,0.78774,2024-08-09 19:29:58,2024-08-09 16:32:10.833663,Processed,2024-08-09 16:32:57.58044,operator
21010980049700,Nisu,14.16700,17.99300,0.78798,2024-08-09 04:20:58,2024-08-09 01:23:10.570423,Processed,2024-08-09 01:25:08.085242,manager
21010980049839,Nisu,13.55900,28.13200,0.80503,2024-08-10 07:57:30,2024-08-10 04:59:41.895716,Processed,2024-08-10 04:59:55.169263,manager
21010980049786,Nisu,14.76800,28.14300,0.79589,2024-08-09 19:31:24,2024-08-09 16:33:36.303523,Processed,2024-08-09 16:33:43.969381,operator
21010980049790,Nisu,14.80100,25.76100,0.79169,2024-08-09 20:29:34,2024-08-09 17:31:45.231763,Processed,2024-08-09 17:31:59.13496,operator
21010980049845,Nisu,15.13000,22.11400,0.79885,2024-08-10 08:45:11,2024-08-10 05:48:48.36713,Processed,2024-08-10 05:59:06.386234,manager
21010980049794,Nisu,16.07200,28.30100,0.79119,2024-08-09 21:30:32,2024-08-09 18:32:43.445678,Processed,2024-08-09 18:33:17.283489,operator
21010980049795,Nisu,13.39800,27.64600,0.80330,2024-08-09 21:31:34,2024-08-09 18:35:32.446262,Processed,2024-08-09 18:35:41.43422,operator
