Date,Time,Grain,Moisture,Temperature,Nature
12-08-2024,07:46:04,Nisu,15.527,28.312,0.79342
12-08-2024,08:29:58,Nisu,13.367,20.443,0.79737
12-08-2024,10:40:34,Nisu,13.125,43.249,0.78971
12-08-2024,13:05:58,Nisu,13.759,25.253,0.77983
12-08-2024,14:57:56,Nisu,15.355,17.937,0.77168
12-08-2024,15:01:53,Nisu,14.289,18.118,0.78057
12-08-2024,15:08:30,Nisu,14.461,17.926,0.77514
12-08-2024,15:41:56,Nisu,13.369,18.343,0.78378
12-08-2024,16:06:52,Nisu,13.252,17.903,0.78477
12-08-2024,16:27:42,Nisu,13.065,17.982,0.7865
12-08-2024,17:37:17,Nisu,14.973,29.171,0.79391
12-08-2024,17:50:10,Nisu,15.625,28.335,0.79292
12-08-2024,19:04:41,Nisu,15.419,20.443,0.77786
12-08-2024,23:02:45,Nisu,15.158,29.871,0.79614
12-08-2024,23:06:33,Nisu,15.206,29.182,0.79218
13-08-2024,06:18:38,Nisu,14.471,26.98,0.80256
13-08-2024,13:53:39,Raps,21.421,24.271,0.61138
13-08-2024,16:49:41,Raps,13.865,24.767,0.63786
13-08-2024,17:50:46,Oder,14.065,21.572,0.64218
13-08-2024,18:40:47,Raps,14.485,25.671,0.64009
13-08-2024,19:31:02,Raps,16.725,23.796,0.65742
13-08-2024,19:52:12,Raps,14.599,28.324,0.6537
13-08-2024,20:15:14,Raps,12.86,31.519,0.65568
13-08-2024,20:42:17,Raps,11.151,34.94,0.65791
13-08-2024,21:02:23,Raps,9.566,39.264,0.65965
13-08-2024,21:32:32,Raps,8.809,31.699,0.65667
13-08-2024,21:52:37,Raps,8.593,24.067,0.66088
13-08-2024,22:12:42,Raps,8.53,24.711,0.65593
13-08-2024,22:52:54,Raps,9.119,23.108,0.66608
13-08-2024,23:17:43,Raps,14.293,22.047,0.63613
13-08-2024,23:18:26,Raps,9.889,21.482,0.66311
13-08-2024,23:24:33,Raps,9.114,22.137,0.66336
13-08-2024,23:39:44,Raps,10.175,20.951,0.66583
13-08-2024,23:49:46,Raps,14.444,22.272,0.62549
13-08-2024,23:53:21,Raps,8.27,20.703,0.65989
14-08-2024,00:09:51,Raps,9.976,19.156,0.66138
14-08-2024,00:21:10,Raps,10.839,18.772,0.65766
14-08-2024,00:39:58,Raps,10.496,18.287,0.65667
14-08-2024,01:02:10,Raps,10.703,17.869,0.65469
14-08-2024,01:23:24,Raps,10.361,18.276,0.65445
14-08-2024,01:40:14,Raps,8.775,20.929,0.66088
14-08-2024,01:43:17,Raps,8.154,23.379,0.66262
14-08-2024,01:50:17,Raps,15.967,24.948,0.65296
14-08-2024,02:01:24,Raps,7.577,27.308,0.66311
14-08-2024,02:24:22,Raps,17.43,24.53,0.64059
14-08-2024,02:24:55,Raps,8.175,23.311,0.66039
14-08-2024,03:00:36,Raps,16.979,24.632,0.64925
14-08-2024,03:29:54,Raps,7.245,20.613,0.66064
14-08-2024,03:34:21,Raps,16.703,24.892,0.63167
14-08-2024,03:54:14,Raps,7.108,20.579,0.65866
14-08-2024,04:12:30,Raps,16.301,24.237,0.60668
14-08-2024,04:24:13,Raps,7.215,20.816,0.65816
14-08-2024,04:51:06,Raps,14.086,23.921,0.63811
14-08-2024,04:52:36,Raps,7.458,20.556,0.65816
14-08-2024,05:21:11,Raps,8.219,20.635,0.65841
14-08-2024,05:22:54,Raps,14.161,24.846,0.64034
14-08-2024,05:51:21,Raps,8.344,20.635,0.65692
14-08-2024,05:55:26,Raps,13.918,25.129,0.63663
14-08-2024,06:19:10,Raps,8.799,21.29,0.65544
14-08-2024,06:31:32,Raps,13.438,24.869,0.6188
14-08-2024,06:51:37,Raps,8.768,20.759,0.65222
14-08-2024,11:31:06,Raps,22.423,25.75,0.57821
14-08-2024,12:14:16,Raps,7.346,23.085,0.64504
14-08-2024,12:29:55,Raps,20.992,25.772,0.63167
14-08-2024,12:42:54,Raps,7.502,22.803,0.64529
14-08-2024,13:16:40,Raps,7.342,23.796,0.64356
14-08-2024,13:33:21,Nisu,20.313,27.827,0.73537
14-08-2024,13:37:00,Raps,6.604,24.485,0.65346
14-08-2024,13:40:35,Raps,21.586,26.303,0.61484
14-08-2024,13:47:27,Nisu,19.613,26.777,0.74574
14-08-2024,14:11:29,Raps,6.139,26.574,0.64999
14-08-2024,15:05:32,Raps,6.544,26.359,0.6443
14-08-2024,15:58:29,Nisu,17.626,28.809,0.76205
14-08-2024,17:53:21,Raps,12.354,22.024,0.62301
14-08-2024,18:11:38,Raps,12.76,27.116,0.62029
14-08-2024,19:14:18,Raps,6.883,37.153,0.6339
14-08-2024,19:36:16,Raps,7.196,42.098,0.63737
14-08-2024,20:19:17,Raps,5.584,28.741,0.63984
14-08-2024,20:41:20,Raps,5.61,25.422,0.63539
14-08-2024,20:58:28,Raps,5.933,23.232,0.63267
14-08-2024,22:56:33,Nisu,19.821,27.917,0.75044
14-08-2024,23:19:50,Nisu,18.763,28.595,0.76032
14-08-2024,23:35:13,Nisu,18.652,28.324,0.76476
14-08-2024,23:51:16,Nisu,18.281,28.312,0.76476
15-08-2024,00:07:38,Nisu,18.075,28.414,0.76748
15-08-2024,00:24:52,Nisu,18.791,28.448,0.76205
15-08-2024,00:40:04,Nisu,18.254,28.425,0.76476
15-08-2024,01:16:09,Nisu,18.825,29.611,0.75933
15-08-2024,01:45:37,Nisu,17.342,30.616,0.77662
15-08-2024,02:15:58,Nisu,15.574,37.344,0.78057
15-08-2024,02:35:58,Nisu,14.952,39.365,0.78576
15-08-2024,02:55:58,Nisu,13.718,43.802,0.78971
15-08-2024,03:13:42,Nisu,12.914,40.269,0.79515
15-08-2024,03:21:43,Nisu,13.248,31.214,0.78947
15-08-2024,03:41:43,Nisu,13.222,21.437,0.79194
15-08-2024,04:11:51,Nisu,12.928,16.706,0.78922
15-08-2024,04:21:55,Nisu,18.658,27.895,0.76106
15-08-2024,04:42:01,Nisu,13.792,18.671,0.79342
15-08-2024,05:06:25,Nisu,18.562,27.917,0.7618
15-08-2024,05:12:09,Nisu,13.534,17.722,0.79095
15-08-2024,05:32:35,Nisu,13.451,19.89,0.79268
15-08-2024,05:36:24,Nisu,18.385,27.263,0.7618
15-08-2024,05:56:04,Nisu,13.227,19.743,0.79465
15-08-2024,06:26:13,Nisu,13.452,19.597,0.78971
15-08-2024,06:44:27,Nisu,12.983,18.31,0.78576
15-08-2024,07:20:30,Nisu,12.798,19.213,0.78798
15-08-2024,07:56:40,Nisu,19.568,27.048,0.74352
15-08-2024,08:26:49,Nisu,19.605,25.558,0.72573
15-08-2024,08:46:55,Nisu,12.44,22.34,0.78897
15-08-2024,08:47:46,Nisu,17.37,27.353,0.76205
15-08-2024,09:54:40,Nisu,13.011,21.629,0.80033
15-08-2024,10:00:44,Nisu,12.775,22.363,0.78601
15-08-2024,10:03:15,Nisu,17.283,26.89,0.7702
15-08-2024,10:44:26,Nisu,14.045,24.734,0.79021
15-08-2024,11:03:57,Nisu,17.345,27.432,0.77217
15-08-2024,11:45:42,Nisu,13.657,25.829,0.79021
15-08-2024,11:46:30,Nisu,17.281,25.998,0.76303
15-08-2024,12:20:52,Nisu,12.634,26.1,0.78749
15-08-2024,12:42:00,Nisu,17.131,27.906,0.76427
15-08-2024,12:43:59,Nisu,13.314,27.962,0.78724
15-08-2024,13:32:00,Nisu,13.459,28.561,0.7823
15-08-2024,13:42:04,Nisu,17.309,27.567,0.77119
15-08-2024,13:43:38,Nisu,12.742,27.24,0.78181
15-08-2024,14:31:20,Nisu,17.131,27.387,0.7697
15-08-2024,15:14:37,Nisu,13.221,28.651,0.78675
15-08-2024,15:45:23,Nisu,13.982,29.916,0.78774
15-08-2024,16:36:48,Nisu,13.11,28.177,0.7865
15-08-2024,16:37:49,Nisu,17.12,28.211,0.76476
15-08-2024,17:03:50,Nisu,13.46,29.351,0.79021
15-08-2024,17:44:24,Nisu,13.898,29.735,0.78872
15-08-2024,17:49:27,Nisu,17.381,26.664,0.75933
15-08-2024,18:25:51,Nisu,13.237,27.003,0.7865
15-08-2024,19:10:55,Nisu,16.623,27.962,0.77539
15-08-2024,19:11:41,Nisu,13.87,29.204,0.78848
15-08-2024,19:56:18,Nisu,14.303,27.838,0.78378
15-08-2024,20:10:07,Nisu,16.839,28.504,0.7739
15-08-2024,20:10:32,Nisu,14.371,27.771,0.78527
15-08-2024,20:37:32,Nisu,15.757,29.735,0.78329
15-08-2024,20:38:00,Nisu,14.031,24.688,0.78428
15-08-2024,21:08:29,Nisu,14.061,26.563,0.78527
15-08-2024,21:30:07,Nisu,13.872,26.563,0.78798
15-08-2024,21:52:44,Nisu,15.922,29.069,0.77934
15-08-2024,21:53:14,Nisu,13.079,24.056,0.78724
15-08-2024,22:23:18,Nisu,15.187,29.509,0.78329
15-08-2024,22:23:39,Nisu,12.788,24.756,0.78947
15-08-2024,22:59:07,Nisu,13.254,29.058,0.79144
15-08-2024,23:23:31,Nisu,13.384,27.364,0.79268
15-08-2024,23:49:16,Nisu,17.506,22.905,0.75266
15-08-2024,23:59:19,Nisu,12.837,24.846,0.7907
16-08-2024,00:29:28,Nisu,13.198,27.466,0.79292
16-08-2024,00:59:35,Nisu,13.096,24.226,0.79119
16-08-2024,01:29:44,Nisu,18.136,25.05,0.75711
16-08-2024,01:59:55,Nisu,13.49,20.839,0.78131
16-08-2024,02:27:35,Nisu,13.439,20.274,0.77539
16-08-2024,02:36:04,Nisu,17.482,23.469,0.75933
16-08-2024,02:57:45,Nisu,13.377,20.33,0.77069
16-08-2024,02:58:58,Nisu,13.255,20.726,0.76872
16-08-2024,03:10:19,Nisu,17.725,24.034,0.75365
16-08-2024,03:27:00,Nisu,18.119,25.219,0.7534
16-08-2024,03:27:23,Nisu,12.975,20.082,0.77119
16-08-2024,03:56:42,Nisu,17.691,23.266,0.75711
16-08-2024,03:58:10,Nisu,13.108,19.743,0.77267
16-08-2024,04:30:01,Nisu,13.242,20.522,0.77489
16-08-2024,05:00:20,Nisu,12.978,21.606,0.77341
16-08-2024,05:03:25,Nisu,18.196,25.354,0.7576
16-08-2024,05:30:01,Nisu,13.295,22.148,0.7697
16-08-2024,05:59:37,Nisu,18.235,25.129,0.74846
16-08-2024,05:59:59,Nisu,13.267,21.776,0.77119
16-08-2024,06:23:34,Nisu,17.87,24.417,0.74747
16-08-2024,06:24:07,Nisu,13.051,21.764,0.77761
16-08-2024,06:50:13,Nisu,13.509,22.588,0.77514
16-08-2024,07:20:12,Nisu,13.688,23.785,0.7739
16-08-2024,07:30:02,Nisu,15.092,26.924,0.78033
16-08-2024,08:00:42,Nisu,14.152,24.7,0.77119
16-08-2024,08:02:10,Nisu,15.071,26.427,0.77613
16-08-2024,08:30:02,Nisu,13.005,21.742,0.79638
16-08-2024,08:38:10,Nisu,14.101,25.129,0.77415
16-08-2024,08:40:10,Nisu,14.92,26.359,0.75414
16-08-2024,09:00:02,Nisu,13.078,21.809,0.79836
16-08-2024,09:05:55,Nisu,13.201,25.84,0.77193
16-08-2024,09:08:07,Nisu,15.301,27.59,0.77168
16-08-2024,09:40:16,Nisu,12.731,30.785,0.78008
16-08-2024,09:41:06,Nisu,15.269,26.314,0.76995
16-08-2024,10:10:09,Nisu,14.883,27.432,0.78206
16-08-2024,10:22:42,Nisu,13.167,23.401,0.78823
16-08-2024,10:40:12,Nisu,13.263,30.198,0.78551
16-08-2024,10:41:04,Nisu,15.026,28.821,0.77909
16-08-2024,11:20:12,Nisu,14.961,26.913,0.77193
16-08-2024,11:23:14,Nisu,13.023,24.146,0.78206
16-08-2024,11:50:17,Nisu,13.023,23.198,0.78971
16-08-2024,11:52:36,Nisu,13.479,29.667,0.79342
16-08-2024,11:53:44,Nisu,15.309,28.03,0.77662
16-08-2024,14:16:36,Hernes,18.288,24.937,0.76856
16-08-2024,15:10:09,Nisu,13.627,23.943,0.78872
16-08-2024,15:20:12,Nisu,15.832,27.838,0.77094
16-08-2024,15:44:45,Nisu,13.321,28.346,0.78897
16-08-2024,15:50:12,Nisu,15.645,27.658,0.75464
16-08-2024,16:24:03,Nisu,13.062,29.848,0.79021
16-08-2024,16:25:06,Nisu,15.053,27.398,0.77489
16-08-2024,17:00:02,Nisu,13.591,30.017,0.78477
16-08-2024,17:20:55,Nisu,14.883,26.134,0.7539
16-08-2024,17:40:09,Nisu,13.556,30.379,0.78255
16-08-2024,17:40:17,Nisu,14.922,26.675,0.77934
16-08-2024,18:30:02,Nisu,15.751,25.863,0.76896
16-08-2024,19:11:36,Nisu,15.227,26.743,0.77786
16-08-2024,19:12:07,Nisu,14.125,28.425,0.78576
16-08-2024,19:45:43,Nisu,13.948,27.33,0.78304
16-08-2024,20:20:11,Hernes,18.399,23.785,0.74207
16-08-2024,20:20:18,Nisu,15.63,26.371,0.77267
16-08-2024,20:20:46,Nisu,13.699,30.785,0.78601
16-08-2024,21:00:01,Nisu,13.99,29.69,0.78477
16-08-2024,21:20:35,Nisu,13.969,28.279,0.7865
16-08-2024,21:20:59,Nisu,16.306,26.517,0.77069
16-08-2024,21:50:13,Nisu,13.76,25.716,0.78378
16-08-2024,22:13:52,Nisu,16.06,27.014,0.77366
16-08-2024,22:14:44,Nisu,13.902,27.398,0.78428
16-08-2024,22:43:24,Nisu,15.222,26.608,0.77711
16-08-2024,22:43:55,Nisu,13.785,26.619,0.78057
16-08-2024,23:13:26,Nisu,14.872,26.732,0.77613
16-08-2024,23:13:57,Nisu,13.911,26.675,0.78329
16-08-2024,23:42:54,Nisu,15.561,26.54,0.77341
16-08-2024,23:43:29,Nisu,13.555,25.625,0.77983
17-08-2024,00:12:49,Nisu,14.942,26.19,0.77045
17-08-2024,00:13:16,Nisu,13.732,27.195,0.7823
17-08-2024,00:50:07,Nisu,15.857,25.49,0.77292
17-08-2024,00:50:19,Nisu,13.045,27.917,0.78378
17-08-2024,01:20:11,Nisu,13.405,23.232,0.77292
17-08-2024,01:50:11,Nisu,13.337,24.767,0.77884
