Alarm_Type,Start,End,Duration
MIDDLE_LEVEL_ALARM,2024-08-17 02:12:00,2024-08-17 02:23:00,11.0
MIDDLE_LEVEL_ALARM,2024-08-17 02:28:00,2024-08-17 02:48:00,20.0
MIDDLE_LEVEL_ALARM,2024-08-17 02:51:00,2024-08-17 03:20:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-17 03:27:00,2024-08-17 03:58:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-17 04:03:00,2024-08-17 04:34:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-17 04:41:00,2024-08-17 05:11:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-17 05:16:00,2024-08-17 05:45:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-17 05:49:00,2024-08-17 06:17:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-17 06:20:00,2024-08-17 06:48:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-17 06:51:00,2024-08-17 07:03:00,12.0
MIDDLE_LEVEL_ALARM,2024-08-17 07:05:00,2024-08-17 07:20:00,15.0
MIDDLE_LEVEL_ALARM,2024-08-17 07:24:00,2024-08-17 07:36:00,12.0
MIDDLE_LEVEL_ALARM,2024-08-17 07:39:00,2024-08-17 07:48:00,9.0
MIDDLE_LEVEL_ALARM,2024-08-17 07:50:00,2024-08-17 08:03:00,13.0
MIDDLE_LEVEL_ALARM,2024-08-17 08:05:00,2024-08-17 08:14:00,9.0
MIDDLE_LEVEL_ALARM,2024-08-17 08:16:00,2024-08-17 08:29:00,13.0
MIDDLE_LEVEL_ALARM,2024-08-17 08:31:00,2024-08-17 08:55:00,24.0
MIDDLE_LEVEL_ALARM,2024-08-17 08:57:00,2024-08-17 09:22:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-17 09:24:00,2024-08-17 09:49:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-17 09:51:00,2024-08-17 09:53:00,2.0
MIDDLE_LEVEL_ALARM,2024-08-19 10:48:00,2024-08-19 11:00:00,12.0
MIDDLE_LEVEL_ALARM,2024-08-19 11:02:00,2024-08-19 11:18:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-19 11:20:00,2024-08-19 11:56:00,36.0
MIDDLE_LEVEL_ALARM,2024-08-19 11:58:00,2024-08-19 13:10:00,72.0
MIDDLE_LEVEL_ALARM,2024-08-19 13:12:00,2024-08-19 13:47:00,35.0
MIDDLE_LEVEL_ALARM,2024-08-19 13:49:00,2024-08-19 14:04:00,15.0
MIDDLE_LEVEL_ALARM,2024-08-19 14:06:00,2024-08-19 15:15:00,69.0
MIDDLE_LEVEL_ALARM,2024-08-19 15:17:00,2024-08-19 15:49:00,32.0
MIDDLE_LEVEL_ALARM,2024-08-19 15:51:00,2024-08-19 16:40:00,49.0
MIDDLE_LEVEL_ALARM,2024-08-19 16:42:00,2024-08-19 17:30:00,48.0
MIDDLE_LEVEL_ALARM,2024-08-19 17:32:00,2024-08-19 18:21:00,49.0
MIDDLE_LEVEL_ALARM,2024-08-19 18:23:00,2024-08-19 18:28:00,5.0
MIDDLE_LEVEL_ALARM,2024-08-19 18:30:00,2024-08-19 18:38:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-19 18:40:00,2024-08-19 18:56:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-19 18:58:00,2024-08-19 19:03:00,5.0
